feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18
0.459527,0.271026,0.269740,0.399080,0.333872,1.112277,1.193319,1.027512,0.597402,0.537869,0.998835,0.996783,0.986065,0.954017,0.987313,0.622017,0.408330,0.592597,0.710215
0.375549,0.556465,0.662651,0.571292,0.412400,1.018959,1.032149,0.735870,0.386164,0.320657,0.999947,0.999971,0.923184,0.878870,0.998796,0.891059,0.859588,0.840983,0.876572
0.374192,0.691978,0.773538,0.640996,0.452352,1.012428,0.900218,0.683516,0.337809,0.244579,0.993852,0.999399,0.957304,0.861976,0.999956,0.907846,0.932868,0.898108,0.929300
0.500666,0.163781,0.104969,0.205943,0.170809,1.097173,1.211797,1.098040,0.690862,0.623703,0.988016,0.987396,0.995382,0.974678,0.932801,0.392633,0.153743,0.282249,0.337449
0.396649,0.068043,0.205391,0.364091,0.279315,0.882911,1.031806,0.826281,0.560503,0.542940,0.998918,0.988925,0.985742,0.966356,0.980191,0.132478,0.277817,0.591063,0.708393
0.507906,0.735079,0.866283,0.484538,0.350805,1.352667,1.470790,1.454926,0.703336,0.596284,1.000000,0.999585,0.993590,0.993846,0.998244,0.946914,0.935322,0.510475,0.481697
0.514865,0.748611,0.869861,0.469386,0.335342,1.387941,1.518290,1.472548,0.691683,0.591905,0.999985,0.999189,0.991934,0.993055,0.999363,0.938918,0.930144,0.495321,0.461791
0.403657,0.986323,1.051411,0.662091,0.396124,1.179861,1.219718,0.978322,0.400131,0.194910,0.987272,0.992860,0.984659,0.930252,0.982422,0.992220,0.983915,0.845350,0.763657
0.504081,0.525896,0.547713,0.526276,0.357508,1.279759,1.352788,1.178704,0.517025,0.486885,0.998941,0.999473,0.992439,0.917136,0.999746,0.937632,0.852923,0.656420,0.616973
0.502277,0.086694,0.025191,0.362135,0.241691,1.043691,1.144577,1.017762,0.558429,0.597252,0.991870,0.989346,0.995187,0.968880,0.969382,0.175233,0.036206,0.550675,0.452463
0.381388,0.463156,0.549869,0.595737,0.368660,1.008798,1.119069,0.864206,0.359634,0.383187,0.998746,0.999944,0.968826,0.838559,0.999644,0.898227,0.859840,0.812341,0.768082
0.548655,0.479721,0.488051,0.461971,0.320446,1.317399,1.399926,1.254274,0.566805,0.548238,0.999619,0.999517,0.992782,0.934304,1.000000,0.910189,0.788493,0.604166,0.561006
